"Source:","http://www.lib.berkeley.edu/MRC/asianamgen.html"
"Asian, Pacific, and South Asian American Studies"
"Kites & Other Tales.","A socio-cultural and historical discussion of kites and kite making. 12 min. 
Related web sites:
â€¢149; Ѭ href=""http://distribution.asianamericanmedia.org/browse/film/?i=119"">Center for Asian American Media catalog descriptionЖ
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1969"">Video/C 1969Ж","Asian, Pacific, and South Asian American Studies"
"Labor Women, the New Generation","Profiles Jun Chong, Karla Zombro, and Quynh Nguyen, three Asian American women who are labor union organizers in Los Angeles. They are immigrant daughters on the frontlines of the fight for economic justice, organizing South Central welfare recipients, Asian and Latino slaughterhouse workers, and LAX airport workers. Their challenges are juxtaposed with inspiring perspectives of ""veteran"" labor women who paved the way and are now labor leaders. Produced, directed and written by Renee Tajima-Peña. 2002. 35 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7328"">DVD 7328Ж","Asian, Pacific, and South Asian American Studies"
"[Lim, Shirley Geok-lin] Lorna Dee Cervantes and Shirley Geok-lin Lim (Sounds of Poetry with Bill Moyers)","American poet Lorna Dee Cervantes founded her own press to publish the works of Mexican-Americans. Dr. Shirley Geok-lin Lim, An English professor uses her Chinese/Malaysian roots to bring a unique Asian-American perspective to her writing. In this program Bill Moyers and the two poets discuss topics that revolve around the theme of otherness. 1999. 27 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6828"">Video/C 6828Ж","Asian, Pacific, and South Asian American Studies"
"Mail Order.","Documents a lonely young man's search for female companionship. 11 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1996"">Video/C 1996Ж","Asian, Pacific, and South Asian American Studies"
"Maxine Hong Kingston: Reading and Interview, UC Berkeley, Spring 1990.","Asian American author Kingston reads from her book, Trapmaster monkey: his fake book, comments upon her writings and replies to questions addressed to her by students. 52 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3796"">Video/C 3796Ж","Asian, Pacific, and South Asian American Studies"
"Maxine Hong Kingston: Talking Story.","This video is about the life and writings of the contemporary Chinese-American author, Maxine Hong Kingston. Narrated by B.D. Wong, it includes comments by Kingston, other authors, and literary critics. Also includes readings by Kingston from her works, The Woman Warrior, China Men, and Tripmaster Monkey. 60 min.  [preservation copy] 
Full-text review from:
â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/TalkingStory.html"">ABC-CLIO Video Rating Guide for LibrariesЖ
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9079"">DVD 9079Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2168"">Video/C 2168Ж","Asian, Pacific, and South Asian American Studies"
"[Lin, Maya] Maya Lin: A Strong Clear Vision.","Reveals the origins of the Vietnam Veterans Memorial and tells the story of its 21 year old creator, a Yale architecture student. Lin's plan was selected from over 1,000 different designs. And what began as one of the country's most bitterly disputed monuments became one of the world's most inspirational and frequently visited memorials. Focuses on the emotional impact of the Vietnam Veterans Memorial, the Civil Rights Memorial and other works designed by Lin. 1994. 98 min.   
Related web sites:
â€¢149; Ѭ href=""http://distribution.asianamericanmedia.org/browse/film/?i=128"">Center for Asian American Media catalog descriptionЖ
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1996"">DVD 1996Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4359"">Video/C 4359Ж","Asian, Pacific, and South Asian American Studies"
"Mitsuye and Nellie: Asian-American Poets.","Poets Nellie Wong and Mitsuye Yamada discuss and demonstrate through readings the influence of Asian culture on their lives and work. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+750"">Video/C 750Ж","Asian, Pacific, and South Asian American Studies"
"Mixed Blood.","Directed by Valerie Soe. Takes a personal view of interracial relationships between Asian Americans and non-Asian Americans and looks at whether such choices have public and political implications. 20 min. 
Related web sites:
â€¢149; Ѭ href=""http://distribution.asianamericanmedia.org/browse/film/?i=132"">Center for Asian American Media catalog descriptionЖ
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2834"">Video/C 2834Ж","Asian, Pacific, and South Asian American Studies"
"Mixed Feelings.","Through interviews with five U.C. Berkeley students and teachers of mixed ethnic heritage, the producer illuminates the experience of what it is like to grow up part Asian in American society. Those interviewed offer personal anecdotes of their families, how they initially perceived their own cultural identities and how they see themselves today. Director/producer, Mikko Jokela. 1995. 40 min. 
Related web sites:
â€¢149; Ѭ href=""http://distribution.asianamericanmedia.org/browse/film/?i=133"">Center for Asian American Media catalog descriptionЖ
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6613"">Video/C 6613Ж","Asian, Pacific, and South Asian American Studies"
"Mountains That Take Wing: Angela Davis & Yuri Kochiyama: A Conversation on Life, Struggles & LiberationЖ","Internationally renowned professor and writer Angela Davis, and 89-year-old grassroots organizer and Nobel Peace Prize nominee Yuri Kochiyama share intimate conversations about personal histories and influences that shaped them and their shared experiences in some of the most important social movements in 20th century United States. Directed by C.A. Griffith & H.L.T. Quan. 2009. 97 min. 
Related web sites:
â€¢149;Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Description from Women Make Movies catalogЖ

See also:
â€¢149;Ѭ href=""#passion"">Yuri Kochiyama: Passion for JusticeЖ
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6448"">DVD X6448Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc796"">s/c796Ж","Asian, Pacific, and South Asian American Studies"
"My America, or, Honk If You Love Buddha","Filmmaker Renee Tajima-Pena goes on the road, à la Jack Kerouac, to record the voices and personalities of Asian Americans everywhere from Chinatown, New York to a debutante ball in Anaheim, California. She compares her childhood to the current ethnic climate of America and chronicles as well the spectacular adventures of her fellow traveler, Victor Wong, son of a San Francisco Chinatown mayor, who went on to become a Beat painter, photojournalist, and character actor. 87 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6049"">Video/C 6049Ж","Asian, Pacific, and South Asian American Studies"
"My Mother Thought She was Audrey Hepburn.","This film is a personal statement about growing up Asian American. Set in San Francisco's Chinatown, the main character's mother was proud to dress like Audrey Hepburn or Jackie Kennedy, thinking she had attained the American dream if she modelled herself after them. A film by by Sharon Jue. c1989. 28 min. ; 
Related web sites:
â€¢149; Ѭ href=""http://filmakers.com/index.php?a=filmDetail&filmID=357"">Filmakers Library catalog descriptionЖ
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3207"">DVD X3207Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2348"">Video/C 2348Ж","Asian, Pacific, and South Asian American Studies"
"Neverperfect","Most Asian women experience particular cultural and social pressure to strive for extremely high standards of achievement and flawlessness. Among ethnic patients, the number of Asian-Americans seeking plastic and cosmetic surgery has risen 55% from 2004 to 2006. Along with other Asian American women seeking plastic surgery, this film follows the complex journey of one young Vietnamese-American woman's struggle with popular perceptions of beauty and body image in her decision to undergo cosmetic surgery. Traversing historical and contemporary notions of beauty, stereotypes and iconography within Asian and popular cultures, this film incorporates a rich selection of archival footage and commentary from numerous voices which ignites lively debate on the phenomena as they pertain to race and gender identity. A film by Regina Park. Dist. Ѭ href=""http://www.cinemaguild.com/"">Cinema GuildЖ. 2007. 65 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8947"">DVD 8947Ж","Asian, Pacific, and South Asian American Studies"
"The New Majority: Beyond the melting Pot; a report on California's cultural and racial demographics and how they affect our society.","Part of the UC Berkeley Open Window Series. California's cultural and racial demographics - by K. Russell -- Diversity: Changing the face of politics; election reapportionment - by T. Mock -- Hate crimes - by K. Debro -- Labor unions and the new immigrants - by H. Frieze -- University of California, Berkeley: Multicultural education - by W. Lasola -- The arts - by H. Norman -- English only initiative - by J. McKelvey -- The lives of immigrants - by B. Pimentel -- A look at immigration policy - by F. Langner.  
â€¢149;Ѭ href=""http://digitalassets.lib.berkeley.edu/mrc/ucb/video/newmajority.mp4"">View this video onlineЖ 
UC Berkeley users only - Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ
© UC Regents.","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9607"">DVD 9607Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2010"">Video/C 2010Ж","Asian, Pacific, and South Asian American Studies"
"No Hop Sing, No Bruce Lee: What Do You Do When None of Your Heroes Look Like You?","Various Asian Americans relate how they had to assimilate and adapt to a dominant white society in America. Asian American actors discuss ethnic identity, mass media stereotyping and their subservient roles in the mass media. Film excerpts and actor interviews: Danger Island, Peter Lorre -- Year of living dangerously, Linda Hunt -- Auntie Mame, Yuki Shimoda -- Pink Panther strikes again, Herbert Lom -- Seinfeld, Dom Magwili -- Sixteen candles, Gedde Watanabe -- Bonanza, Victor Sen -- Green Hornet, Bruce Lee -- Flash Gordon, Max von Sydow -- Hook, Dante Basco -- Big trouble in Little China, Dennis Dun, James Hong -- Kung Fu, David Carradine -- American ninja, Guich Koock -- Fiendish plot of Fu Manchu, Peter Sellers -- Under the rainbow -- Seven faces of Dr. Lao, Tony Randall -- Marlow, Bruce Lee -- Terror of the Tong, Christopher Lee -- Karate Kid, Pat Morita -- Teahouse of the August Moon, Marlon Brando. c1998. 28 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7022"">Video/C 7022Ж","Asian, Pacific, and South Asian American Studies"
"No Time to Stop: Stories of Immigrant and Visible Minority Women.","Features three immigrant women in Canada from Hong Kong, Ghana and Jamaica respectively. They talk about the circumstances that shape their lives and how their dreams are marred by hardship, sexism and racism. They personalize the complex issues facing immigrant women who are forced to take low-paying, low-status jobs in Canada. 30 min. 
Full-text review from:
â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/NoTimetoStop.html"">ABC-CLIO Video Rating Guide for LibrariesЖ
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3344"">Video/C 3344Ж","Asian, Pacific, and South Asian American Studies"
"Not a Simple Story [Out in Silence].","Presents two stories of Asian Pacific Americans, gay and straight, male and female who have gone public about being HIV positive. 37 min. 
Related web sites:
â€¢149; Ѭ href=""http://distribution.asianamericanmedia.org/film/?i=153"">Center for Asian American Media catalog descriptionЖ
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3749"">Video/C 3749Ж","Asian, Pacific, and South Asian American Studies"
"Not Black or White","Examines the stereotypical ways in which Asian women have been depicted in the media and how three nationally acclaimed Asian American actresses challenge and defy those concepts in their creative work and careers. c1999. 20 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7716"">Video/C 7716Ж","Asian, Pacific, and South Asian American Studies"
"[Edward Said] On Orientalism (Race and Diversity Series)","Edward Said's book Orientalism has been influential in a diverse range of disciplines since its publication in 1978. In this interview he talks about the context in which the book was conceived, its main themes, and how its original thesis relates to the contemporary understanding of ""the Orient."" c1998. 40 min.  
Ѭ href=""http://www.lib.berkeley.edu/MRC/onlinecopyright.html"">© noticeЖ
â€¢149;Ѭ href=""http://digitalassets.lib.berkeley.edu/mrc/ucb/video/orientalism.mp4"">View this video onlineЖ 
UC Berkeley users only - Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ
Related web sites:
â€¢149; Ѭ href=""http://www.mediaed.org/videos/MediaRaceAndRepresentation/EdwardSaidOnOrientalism"">Description from Media Education Foundation CatalogЖ
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4914"">DVD 4914Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5800"">Video/C 5800Ж","Asian, Pacific, and South Asian American Studies"
"On Strike! Ethnic Studies, 1969-1999","A historical presentation of the struggle to create and maintain a Department of Ethnic Studies at the University of California Berkeley. Includes interviews with participants in the 1969 demonstrations when the program was first established, with the 1999 demonstrators when the funding for the program was threatened and with Ethnic Studies faculty at U.C.B. Directed and produced by Irum Shiekh. 1999. 36 min.  
Ѭ href=""http://www.lib.berkeley.edu/MRC/onlinecopyright.html"">© noticeЖ
â€¢149;Ѭ href=""http://digitalassets.lib.berkeley.edu/mrc/ucb/video/onstrike.mp4"">View this video onlineЖ 
UC Berkeley users only - Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8561"">DVD 8561Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6521"">Video/C 6521Ж","Asian, Pacific, and South Asian American Studies"
"Open Letter: Grasp the Bird's Tail.","Directed by Brenda Joy Lem. Structuring her thoughts in a letter to her lover, a young woman confronts the very real fears of being an Asian woman in a world distorted by misogynistic and anti-Asian hostilities. The work is a vividly disturbing contemplation of race, gender, and violence. 15 min. 
Related web sites:
â€¢149; Ѭ href=""http://distribution.asianamericanmedia.org/film/?i=271"">Center for Asian American Media catalog descriptionЖ
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2836"">Video/C 2836Ж","Asian, Pacific, and South Asian American Studies"
"Orientations.","Directed by Richard Fung, looks at gay Asians in Toronto, Canada. More than a dozen gay men and lesbian women of different Asian backgrounds speak frankly about their lives as members of a minority within a minority. This group's commitment and outspokenness challenge the stereotype of passive Asians. 15 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3757"">Video/C 3757Ж","Asian, Pacific, and South Asian American Studies"
"Panel on Ethnic Diversity with Troy Duster, Elaine Kim and Alex Saragoza, January, 1991.","A panel of five faculty members discuss a report, chaired by Tony Duster. The Duster report concludes that students at the University of California, Berkeley, 50% of whom are of a cultural minority, tend to cluster into ethnic groups rather than interact. Julia Curry, Alex Saragoza, Elaine Kim, and Snow Arrow Fausett discuss problems facing various ethnic groups. UC Berkeley, Open Window series program; 921. 
â€¢149;Ѭ href=""http://digitalassets.lib.berkeley.edu/mrc/ucb/video/diversitypanel.mp4"">View this video onlineЖ 
Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1932"">Video/C 1932Ж","Asian, Pacific, and South Asian American Studies"
"Paper Birds","A film investigating the darkest recesses of a postadolescent mind traumatized by ritual spousal abuse. Fearing that he is fated to repeat his father's sins, Jeremy literally seeks asylum in a sanitarium to spare his girlfriend, but not himself, from the violent behavior patterns often endemic to Asian and Asian American patriarcy. Produced and directed by Chesley Chen. 1998. 17 min.  
Related web sites:
â€¢149; Ѭ href=""http://distribution.asianamericanmedia.org/browse/film/?i=155"">Center for Asian American Media catalog descriptionЖ
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9608"">DVD 9608Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1932"">Video/C 1932Ж","Asian, Pacific, and South Asian American Studies"
"Party","Explores modern Asian-America through the prism of New York's Asian party scene. What is the purpose of these parties? What does this scene say about Asian-American identity? Going beyond the ""safe-space"" exterior, the film reveals the lives and struggles of prominent promoters and partygoers. Features narration by Professor Gary Okihiro of Columbia University, who comments on the current state of Asian-America. Producers, Steven Hahn, Francis Hsueh. 2005. 84 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6127"">DVD 6127Ж","Asian, Pacific, and South Asian American Studies"
"Picturing Oriental Girls : A [RE] Educational Videotape.","Directed by Valerie Soe. A visual compendium of portrayals of Asian women in American film and television. Juxtaposed with text from ""mail-order bride"" catalogs and men's magazines, clips from over 25 films and television programs explicate the orientalism and exoticism prevalent in mass media images of Asian American women. 12 min. 
Related web sites:
â€¢149; Ѭ href=""http://distribution.asianamericanmedia.org/browse/film/?i=160"">Center for Asian American Media catalog descriptionЖ
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2836"">Video/C 2836Ж","Asian, Pacific, and South Asian American Studies"
"Q It Up.","A fictional exploration of drug abuse Asian American adolescents. Starring Kelvin Han Yee (A Great Wall) Dennis Dunn (The Last Emperor), Cora Miao (Eat a Bowl of Tea), and Victor Wong (Dim Sum) 16 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1970"">Video/C 1970Ж","Asian, Pacific, and South Asian American Studies"
"Race is the Place","Focusing on the topic of racism in the United States, the program presents an assemblage of taped monologues, commentaries, readings, musical performances, and stills of visual artworks interspersed with documentary sequences, archival images, and dialogue exemplifying the topic found in American mass media and product packaging. Featuring: Amiri Baraka, Andy Bumatrai, Kamau Daaood, Mayda del Valle, Michael Franti, Lalo Guerrero, Barry ""Shabaka"" Henley, Danny Hoch, James Luna, Culture Clash, Richard Montoya, Willie Perdomo, Kate Rigg, Boots Riley, Ricardo Salinas, Beau Sia, Herbert Siguenza, Piri Thomas, Haunani-Kay Trask, Lois Ann Yamada ; visual artists: Enrique Chagoya, Michael Ray Charles, Paula de Joie, Faith Ringgold, Betye Saar, Ben Sakoguchi, Cora Yee. Produced and directed by Raymond Telles, Rick Tejada-Flores. c2005. 92 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6153"">DVD 6153Ж","Asian, Pacific, and South Asian American Studies"
"Race, The Power of an Illusion","A three part series exploring the history of race perceptions and behaviors towards races in the United States, within the context of recent scientific discoveries which have have toppled the concept of biological race. c2003. 56 min. each installmentâ€¢149; The Difference Between Us. Follows students who sequence and compare their own DNA looking for a ""race marker."" It also looks at the history of racism in the U.S., the advent of stereotypes based on physical attributes attributed to races and somatotypes with particular reference to African Americans. ; 
Ѭ href=""http://www.lib.berkeley.edu/MRC/onlinecopyright.html"">© noticeЖâ€¢149;Ѭ href=""http://digitalassets.lib.berkeley.edu/mrc/ucb/video/Raceillusion_differences.mp4"">View this video onlineЖ 
UC Berkeley users only - Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖâ€¢149; The Story We Tell. Traces the race concept to the European conquest of the Americas, including the development of the slave system, which eventually crystalized into an ideology of white supremacy. By the mid-19th century, race had become the ""common sense"" wisdom of white America, revealing how social and political inequalities came to be recognized as ""natural.""   
Ѭ href=""http://www.lib.berkeley.edu/MRC/onlinecopyright.html"">© noticeЖâ€¢149;Ѭ href=""http://digitalassets.lib.berkeley.edu/mrc/ucb/video/Raceillusion_story.mp4"">View this video onlineЖ 
UC Berkeley users only - Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖâ€¢149; The House We Live In. Focuses on how institutions shape and create race, giving different groups vastly unequal life chances. After WWII, whiteness increasingly meant owning a home in the suburbs, aided by discriminatory federal policies. ; 
Ѭ href=""http://www.lib.berkeley.edu/MRC/onlinecopyright.html"">© noticeЖâ€¢149;Ѭ href=""http://digitalassets.lib.berkeley.edu/mrc/ucb/video/Raceillusion_house.mp4"">View this video onlineЖ 
UC Berkeley users only - Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖRelated web sites:â€¢149; Ѭ href=""http://newsreel.org/nav/title.asp?tc=CN0149"">Description from California Newsreel catalogЖâ€¢149;Ѭ href=""http://www.pbs.org/race"">PBS web siteЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3046"">DVD 3046Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9574"">Video/C 9574Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3046"">DVD 3046Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9575"">Video/C 9575Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3046"">DVD 3046Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9576"">Video/C 9576Ж","Asian, Pacific, and South Asian American Studies"
"Reading, Writing & Race.","This program looks at the impact of affirmative action admissions policies, speech codes, and race relations on the campus of the University of California, Berkeley. Includes drama students enacting plays about racial conflicts and intolerance on campus. The film also examines the debate in California over a series of social studies textbooks which are under fire from critics, who charge that they do not adequately reflect California's multicultural heritage. 1991. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6790"">Video/C 6790Ж","Asian, Pacific, and South Asian American Studies"
"Renee Tajima Reads Asian Images in American Film.","Discussion of the stereotyping of Asians and Asian-Americans in American films, particularly the passive Asian woman and the monolithic Asian masses who do not seem to have individual identity. 1984. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2579"">Video/C 2579Ж","Asian, Pacific, and South Asian American Studies"
"Rock Me Gung Hay.","From Hollywood to cartoon caricatures, this film confronts pervasive racist imagery of Asian Americans on the big and little screens. Personified by the Goong Hay Kid, a fictional Chinese rapper, Chinese Americans hit back with self-defined images, Chinese-American rap and rage. 6 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3648"">Video/C 3648Ж","Asian, Pacific, and South Asian American Studies"
"Sally's Beauty Spot.","Shows a woman's attitude toward her body by exploring her feelings towards a small mole on her breast. 12 min. 
Related web sites:
â€¢149; Ѭ href=""http://www.wmm.com/catalog/page.htm"">Women Make Movies catalog descriptionЖ

Reviews and articles:
â€¢149; Lee, Helen. ""A Peculiar Sensation: A Personal Genealogy of Korean American Women's Cinema."" (Race in Contemporary American Cinema, part 8) Cineaste v23, n1 (Wntr, 1997):36 (3 pages). Ѭ href=""http://www.lib.berkeley.edu/MRC/koreancinema.html"">Full-text of this article / review is available:Ж
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3361"">Video/C 3361Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc259"">s/c259Ж","Asian, Pacific, and South Asian American Studies"
"Sambal Belacan in San Francisco","Documentary portrays three first-generation Asian lesbians (originally from Singapore) grappling with making a home in America. Produced, directed, written, photographed, edited by Madeleine Lim. c1997. 25 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1198"">Video/C MM1198Ж","Asian, Pacific, and South Asian American Studies"
"School Colors.","This in-depth documentary looks at a turbulent year at Berkeley High School in California, focusing on teachers, students, and parents struggling with the question of whether diversity will enrich American society or tear it apart. 143 min. 
Reviews and articles:
â€¢149; Goodman, Walter. ""School Colors."" (television program reviews) New York Times v144 (Tue, Oct 18, 1994):B3(N), C20(L), col 1
â€¢149; Leonard, John. ""School Colors."" (television program reviews) New York v27, n42 (Oct 24, 1994):70.
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3596"">Video/C 3596Ж","Asian, Pacific, and South Asian American Studies"
"Searching for Asian America","Segments from a television series looking at the Asian American experience. The governor: Profiles the successful 1997 campaign and life experiences of the first Asian American governor elected in America, Gary F. Locke of Washington State. Oklahoma home: Filipino immigrant doctors Martin Bautista and Jeffrey Lim discuss issues of nationalism and assimiliation living in rural America. Angry Little Asian girl: Actress and creator of the underground comic and website Angry little girls.com, Lela Lee challenges stereotpyes of gender and race and comes to terms with her own identity as an Asian American woman. 2003. 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9686"">Video/C 9686Ж","Asian, Pacific, and South Asian American Studies"
"The 7 Train: An Immigrant Journey","Each day 500,000 people from 117 different countries ride the bright red #7 subway train that runs from Flushing to Times Square, going through Queens, the most ethnically diverse region in the United States. Here are a few of the passengers. 1999. 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6644"">Video/C 6644Ж","Asian, Pacific, and South Asian American Studies"
"Sex, Love, & Kung Fu","A comical look at two crazed kung fu fanatics who argue over Asian American masculinity and the nature of martial arts films. Includes clips from the films Showdown in little Tokyo, Kung fu, and Enter the dragon. c2000. 7 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8318"">Video/C 8318Ж","Asian, Pacific, and South Asian American Studies"
"Shades of California","Presents the stories of Californians of varied racial and ethnic backgrounds through personal photographs which they share with the viewer along with their family histories. Based on the book ""Shades of California,"" edited by Kimi Kodani Hill (Bancroft pfF862.S521 2001 Non-circulating; may be used only in The Bancroft Library). c2003. 54 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM29"">Video/C MM29Ж","Asian, Pacific, and South Asian American Studies"
"Shattering the Silences.","Documentary explores issues of faculty diversity in American higher education in the mid-1990s, focusing on the professional and personal experiences of eight minority scholars in the humanities and social sciences at various institutions. 86 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4707"">Video/C 4707Ж","Asian, Pacific, and South Asian American Studies"
"The Shot Heard Round the World","An examination of the death of teenaged Japanese exchange student, Yoshi Hattori, who was fatally shot by Rodney Peairs in 1992 in Baton Rouge, Louisiana. This searing study in the pathology of urban fear, gun violence, criminal justice and cultural miscommunication utilizes news footage, videotape depositions, and interviews with the attorneys to examine the tragedy. 1997. 67 min. 
Related web sites:
â€¢149; Ѭ href=""http://distribution.asianamericanmedia.org/browse/film/?i=184"">Center for Asian American Media catalog descriptionЖ
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5008"">Video/C 5008Ж","Asian, Pacific, and South Asian American Studies"
"Sisters 'n Brothers","a hard-hitting feminist look at a revolution-gone-awry among people which explodes and explores current dialogues on gender wars. 4 min. 
Related web sites:
â€¢149; Ѭ href=""http://distribution.asianamericanmedia.org/browse/film/?i=188"">Center for Asian American Media catalog descriptionЖ
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4175"">Video/C 4175Ж","Asian, Pacific, and South Asian American Studies"
"Skin Deep.","A diverse group of college students reveal their honest feelings and attitudes about race and racism. Students from 3 major universities are interviewed alone on topics including the climate toward talking about race on campus, self separation of ethnic groups, discrimination, affirmative action policies and individual responsibility for change. Concludes with a diverse group of 23 students from 6 major American universities who spent 3 days together to collectively challenge one another with dialogue focusing on such topics as the concept of individual responsibility, feeling separated from each other, wanting others to understand and what can be done to move awareness to action. 53 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3705"">DVD 3705Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4055"">Video/C 4055Ж","Asian, Pacific, and South Asian American Studies"
